segment_id,marker_type,total_phrase_hits,phrase_counts
EQ0001-S0079,SOURCES_LABEL,4,Suno v4.5=3; world-class=1
EQ0001-S0080,SOURCES_LABEL,2,Scalable Songwriting=2
EQ0001-S0081,SOURCES_LABEL,0,
EQ0001-S0082,SOURCES_LABEL,5,Council Decision Matrix=1; Scalable Songwriting=1; Suno v4.5=3
EQ0001-S0083,SOURCES_LABEL,0,
EQ0001-S0084,SOURCES_LABEL,0,
EQ0001-S0085,SOURCES_LABEL,0,
EQ0001-S0086,SOURCES_LABEL,0,
EQ0001-S0087,SOURCES_LABEL,4,Suno v4.5=3; world-class=1
EQ0001-S0088,SOURCES_LABEL,10,Council Decision Matrix=2; Scalable Songwriting=1; Suno v4.5=7
EQ0001-S0089,SOURCES_LABEL,16,Council Decision Matrix=2; Scalable Songwriting=1; Suno v4.5=13
EQ0001-S0090,SOURCES_LABEL,10,Council Decision Matrix=2; Scalable Songwriting=1; Suno v4.5=7
EQ0001-S0091,SOURCES_LABEL,1,Suno v4.5=1
EQ0001-S0092,SOURCES_LABEL,1,Suno v4.5=1
EQ0001-S0093,SOURCES_LABEL,4,Suno v4.5=4
EQ0001-S0094,SOURCES_LABEL,2,Suno v4.5=2
EQ0001-S0095,SOURCES_LABEL,11,Suno v4.5=10; world-class=1
EQ0001-S0096,SOURCES_LABEL,0,
EQ0001-S0097,USER_SAID,5,Suno v4.5=3; virtual SME=2
EQ0001-S0098,ASSISTANT_THOUGHT_MODEL,1,Suno v4.5=1
EQ0001-S0099,ASSISTANT_THOUGHT_MODEL,2,Suno v4.5=2
EQ0001-S0100,USER_SAID,20,Council Decision Matrix=2; Scalable Songwriting=1; Suno v4.5=11; [ key | variable.x ]=5; world-class=1
EQ0001-S0101,SOURCES_LABEL,14,Council Decision Matrix=2; Scalable Songwriting=1; Suno v4.5=10; world-class=1
EQ0001-S0102,SOURCES_LABEL,5,Suno v4.5=5
EQ0001-S0103,SOURCES_LABEL,21,Council Decision Matrix=2; Scalable Songwriting=1; Suno v4.5=17; world-class=1
EQ0001-S0104,SOURCES_LABEL,19,Council Decision Matrix=2; Scalable Songwriting=1; Suno v4.5=15; world-class=1
EQ0001-S0105,SOURCES_LABEL,0,
