object,sha256,bytes,surface,encoding,layer_b,raw_layer_a_hits
system/D-Maestro/maestro-ai-music-system-main/legacy/knowledgeSpine.pdf,347b14e0924190988d47fd35f2a9975c25e54e4c33454f24bc42dc040a4791f8,833766,historical,,pdf-extract,0
untracked/FOLD_INPUT.json,61994ab997b3444a00682f6fa7df87984d71976ae335df0d56eb91bae944a51d,84200,historical,utf-16,text,0
untracked/FOLD_MANIFEST.json,64596188b46af2e1a998791997ad6ea1c4a43aa6a2d85ecd45c3f31620818598,456234,historical,utf-16,text,0
untracked/FOLD_MANIFEST_CLASSIFIED.json,95cd9e052e98cdade9072dd5b4abb4987a39c8ad6a36afe38c559311a8e29ea5,502580,historical,utf-16,text,0
untracked/MUTATION_CHAIN.json,d60558d4e2203478253043e011db312e0b5dfb385aa3083fe6c763530e3ec1d8,8474,historical,utf-16,text,0
untracked/Maestro_Session_Transfer_Packet.docx,b498c53341505528cc0ecba958f3c18af5b96da10e59b69e9bc271011d21dc61,36810,historical,,ooxml-extract,0
untracked/Maestro_Session_Transfer_Packet.pdf,70b2f89a4ba37ded314fd93d9f324f216fedc4db3df0cac7757a5b7c47f7d39e,1619,historical,,pdf-extract,0
untracked/Maestro_Session_Transfer_Packet.xlsx,3da630ef26760070916141e406af8a4c1115295a9775f3282e80360f3f181bb6,5094,historical,,ooxml-extract,0
untracked/SYSTEM_GRAPH.json,e864950fa54c0682fba0645cacda31d0d13c2a0c34f16fb09500dcd5b97db228,55930,historical,utf-16,text,0
untracked/SYSTEM_GRAPH_IMPROVED.json,bd21f1afb2c1b2e98f0b20ba9e1cc5f45e3ee3faba5dc47b16309a92bc1acf1e,7435400,historical,utf-16,text,0
untracked/TRACE_VALIDATION.json,caa3ad29e55cf25dc3910467d3b487f953123ac3663ebfb5d5c7a1339f36a8e1,26698,historical,utf-16,text,0
untracked/maestro_prompt_evolution_full_rerun_2026-07-25/source/direct/who_dat.pdf,9bbda53cf448080b88082fa1fafbe5a1379e06771fc69e2f64cbe01eca7eff8b,1374089,historical,,pdf-extract,0
