"category","target","path","sizeKB","modified"
"content-term","Fabric Pattern","C:\Users\gamer\Downloads\New folder\newfiles1\mnt\user-data\outputs\pass1_v2\STUCK_COPY.events.json","669.1","2026-06-13 23:06"
"content-term","Fabric Pattern","C:\Users\gamer\Downloads\New folder\newfiles1\STUCK_COPY.events.json","414.1","2026-06-13 23:06"
"content-term","Fabric Pattern","C:\Users\gamer\Downloads\New folder\newfiles1\substrate_STUCK_COPY_TXT.json","414.2","2026-06-13 23:06"
"content-term","Fabric Pattern","C:\Users\gamer\Downloads\stuck - Copy.txt","387","2026-01-06 11:38"
"content-term","Fabric Pattern","C:\Users\gamer\Downloads\stuck.txt","387","2026-01-06 11:38"
"content-term","Fabric Pattern","C:\Users\gamer\OneDrive\Desktop\2011 Infiniti G37 keep losing power\stuck.txt","387","2025-04-15 22:57"
"content-term","Fabric Pattern","C:\Users\gamer\OneDrive\Music\Suno\v4.5+\stuck.txt","387","2025-11-27 01:13"
"content-term","Fabric pattern","D:\HYDRA 2.0D PRO\pattern_descriptions.json","44.2","2025-10-15 18:23"
"content-term","fabric pattern","D:\HYDRA 2.0D PRO\pattern_extracts.json","283.8","2025-10-15 18:23"
"content-term","Fabric pattern","D:\Maestro\maestro-on-mosaic\artifacts\HYDRA\pattern_descriptions.json","44.2","2025-10-15 18:23"
"content-term","fabric pattern","D:\Maestro\maestro-on-mosaic\artifacts\HYDRA\pattern_extracts.json","283.8","2025-10-15 18:23"
"content-term","Fabric Pattern","D:\Maestro\v4.5+\stuck.txt","387","2025-11-27 01:13"
"content-term","Fabric pattern","D:\maestro-on-mosaic\artifacts\HYDRA\pattern_descriptions.json","44.2","2026-06-18 20:09"
"content-term","fabric pattern","D:\maestro-on-mosaic\artifacts\HYDRA\pattern_extracts.json","283.8","2026-06-18 20:09"
"content-term","Fabric Pattern","D:\maestro-on-mosaic\Human - Maestro v5b Workspace Discussion.md","70.5","2026-07-19 00:00"
"content-term","Fabric pattern","D:\maestro-on-mosaic\untracked\ChatGPT export\chatgpt_memories (1).md","30.5","2026-07-22 19:52"
"content-term","Fabric pattern","E:\Downloads\chatgpt_memories.md","30.5","2026-07-02 23:17"
"content-term","FM-16","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019e8032-2253-7486-9c81-1b51684270b4\docs\Song Excellence Governance System.md","640.3","2026-07-08 12:23"
"content-term","FM-16","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\skills-plugin\ff0896d5-42dd-41bb-93df-3b545a95ac9b\2f105316-0343-494b-b221-117831308e11\skills\maestro-forensic-transcript\02_FAILURE_MODES.md","7.9","2026-07-21 01:04"
"content-term","FM-16","D:\maestro-on-mosaic\.claude\skills\maestro-forensic-transcript\02_FAILURE_MODES.md","7.9","2026-07-20 19:02"
"content-term","FM-18","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\skills-plugin\ff0896d5-42dd-41bb-93df-3b545a95ac9b\2f105316-0343-494b-b221-117831308e11\skills\maestro-forensic-transcript\03_WHY_AI_DEFAULTS_HERE.md","11.6","2026-07-21 01:04"
"content-term","FM-18","D:\Maestro\drafts\03_WHY_AI_DEFAULTS_HERE.md","11.6","2026-05-25 18:15"
"content-term","FM-18","D:\Maestro\maestro-on-mosaic\artifacts\D-Maestro\drafts\03_WHY_AI_DEFAULTS_HERE.md","11.6","2026-05-25 18:15"
"content-term","FM-18","D:\maestro-on-mosaic\.claude\skills\maestro-forensic-transcript\03_WHY_AI_DEFAULTS_HERE.md","11.6","2026-07-20 19:02"
"content-term","FM-18","D:\maestro-on-mosaic\artifacts\D-Maestro\drafts\03_WHY_AI_DEFAULTS_HERE.md","11.6","2026-06-18 20:09"
"content-term","INV-17","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019d6f66-e24e-7222-9533-f6f4625a6bf4\docs\knowledge.md","28.5","2026-07-23 02:42"
"content-term","INV-17","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019d6f66-e24e-7222-9533-f6f4625a6bf4\docs\maestro.md","14.5","2026-07-23 02:42"
"content-term","INV-17","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019d6f66-e24e-7222-9533-f6f4625a6bf4\metadata.json","329.3","2026-07-23 02:42"
"content-term","INV-17","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019e340e-b8b6-746a-873c-f7942ec57e7d\docs\ws_synthesizing-claude_day-1-prep_v1.0.yaml","33.4","2026-07-09 00:29"
"content-term","INV-17","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019e8032-2253-7486-9c81-1b51684270b4\docs\maestro.md","14.5","2026-07-08 12:23"
"content-term","INV-17","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\local_970d0a6b-58b1-45a3-a81d-0dd198f7d5f7\.claude\projects\C--Users-gamer-AppData-Roaming-Claude-local-agent-mode-sessions-2f105316-0343-494b-b221-117831308e11-ff0896d5-42dd-41bb-93df-3b545a95ac9b-local-970d0a6b-58b1-45a3-a81d-0dd198f7d5f7-outputs\2e69181a-c527-4110-8ddc-ac6e61321480\tool-results\mcp-workspace-bash-1783575045166.txt","333.1","2026-07-09 00:30"
"content-term","INV-17","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\local_bda23828-1eee-4e80-bb6c-7075d46c9742\.claude\projects\C--Users-gamer-AppData-Roaming-Claude-local-agent-mode-sessions-2f105316-0343-494b-b221-117831308e11-ff0896d5-42dd-41bb-93df-3b545a95ac9b-local-bda23828-1eee-4e80-bb6c-7075d46c9742-outputs\8464412a-bc3c-4314-b962-5c52742f6c54\tool-results\mcp-workspace-bash-1783575636548.txt","330.2","2026-07-09 00:40"
"content-term","INV-17","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\local_bda23828-1eee-4e80-bb6c-7075d46c9742\.claude\projects\C--Users-gamer-AppData-Roaming-Claude-local-agent-mode-sessions-2f105316-0343-494b-b221-117831308e11-ff0896d5-42dd-41bb-93df-3b545a95ac9b-local-bda23828-1eee-4e80-bb6c-7075d46c9742-outputs\8464412a-bc3c-4314-b962-5c52742f6c54\tool-results\mcp-workspace-bash-1783576188944.txt","59.7","2026-07-09 00:49"
"content-term","INV-17","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\local_bda23828-1eee-4e80-bb6c-7075d46c9742\.claude\projects\C--Users-gamer-AppData-Roaming-Claude-local-agent-mode-sessions-2f105316-0343-494b-b221-117831308e11-ff0896d5-42dd-41bb-93df-3b545a95ac9b-local-bda23828-1eee-4e80-bb6c-7075d46c9742-outputs\8464412a-bc3c-4314-b962-5c52742f6c54\tool-results\toolu_0121ZHsYTvZxV9FacX4qMbhm.json","61.1","2026-07-09 00:47"
"content-term","INV-17","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\local_bda23828-1eee-4e80-bb6c-7075d46c9742\outputs\MAESTRO_MOSAIC_Build_Harvest.md","81.2","2026-07-09 00:58"
"content-term","INV-17","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\skills-plugin\ff0896d5-42dd-41bb-93df-3b545a95ac9b\2f105316-0343-494b-b221-117831308e11\skills\maestro-forensic-transcript\04_KERNEL.md","5.1","2026-07-21 01:04"
"content-term","INV-17","C:\Users\gamer\Downloads\maestro_mosaic_current_uploads_sot_2026-05-05.md","1696.3","2026-05-05 15:04"
"content-term","INV-17","C:\Users\gamer\Downloads\New folder\newfiles1\WS_SYNTHESIZING_CLAUDE_DAY_1_PREP_V1_0.events.json","42.9","2026-06-13 23:06"
"content-term","INV-17","C:\Users\gamer\OneDrive\Microsoft Copilot Chat Files\maestro.md","14.5","2026-06-06 09:01"
"content-term","INV-17","D:\Maestro\drafts\knowledge.md","28.5","2026-05-07 03:32"
"content-term","INV-17","D:\Maestro\drafts\maestro.md","14.5","2026-05-07 03:30"
"content-term","INV-17","D:\Maestro\maestro-on-mosaic\artifacts\D-Maestro\drafts\maestro.md","14.5","2026-05-07 03:30"
"content-term","INV-17","D:\Maestro\maestro-on-mosaic\artifacts\D-Maestro\sources\ws_synthesizing-claude_day-1-prep_v1.0.yaml","33.4","2026-05-20 08:03"
"content-term","INV-17","D:\Maestro\maestro-on-mosaic\system\D-Maestro\drafts\knowledge.md","28.5","2026-05-07 03:32"
"content-term","INV-17","D:\Maestro\sources\ws_synthesizing-claude_day-1-prep_v1.0.yaml","33.4","2026-05-20 08:03"
"content-term","INV-17","D:\maestro-on-mosaic\.claude\skills\maestro-forensic-transcript\04_KERNEL.md","5.1","2026-07-20 19:02"
"content-term","INV-17","D:\maestro-on-mosaic\_PROVENANCE\P0_EVIDENCE_INVENTORY_v0_1.md","12.3","2026-07-16 13:17"
"content-term","INV-17","D:\maestro-on-mosaic\_PROVENANCE\SKILL_FILES_SEARCH_CHECKLIST.md","4.6","2026-07-20 18:30"
"content-term","INV-17","D:\maestro-on-mosaic\artifacts\D-Maestro\drafts\maestro.md","14.5","2026-06-18 20:09"
"content-term","INV-17","D:\maestro-on-mosaic\artifacts\D-Maestro\sources\ws_synthesizing-claude_day-1-prep_v1.0.yaml","33.4","2026-06-18 20:09"
"content-term","INV-17","D:\maestro-on-mosaic\system\D-Maestro\drafts\knowledge.md","28.5","2026-06-18 20:09"
"content-term","INV-17","D:\maestro-on-mosaic\untracked\maestro_prompt_evolution_full_rerun_2026-07-25\source\o16e\O16E_HISTORY_GROUNDED_DERIVATION_v0_1.md","10.1","2026-07-25 23:15"
"content-term","INV-18","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\local_1c686f4c-acc4-49f8-82f7-b99c3531e675\.claude\projects\C--Users-gamer-AppData-Roaming-Claude-local-agent-mode-sessions-2f105316-0343-494b-b221-117831308e11-ff0896d5-42dd-41bb-93df-3b545a95ac9b-local-1c686f4c-acc4-49f8-82f7-b99c3531e675-outputs\9eff0e67-8d2a-4247-95fc-dd2c2e8bd318\tool-results\mcp-workspace-bash-1784210788023.txt","642","2026-07-16 09:06"
"content-term","INV-18","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\local_bda23828-1eee-4e80-bb6c-7075d46c9742\outputs\CROSS_SESSION_RECONCILIATION.md","13","2026-07-21 01:29"
"content-term","INV-18","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\local_bda23828-1eee-4e80-bb6c-7075d46c9742\outputs\O16E_ELDRIK_2026-03-28-2105_REPLAY.md","27.7","2026-07-21 03:26"
"content-term","INV-18","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\skills-plugin\ff0896d5-42dd-41bb-93df-3b545a95ac9b\2f105316-0343-494b-b221-117831308e11\skills\maestro-forensic-transcript\06_LESSONS_LEARNED_2026-07.md","4.3","2026-07-21 01:04"
"content-term","INV-18","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\skills-plugin\ff0896d5-42dd-41bb-93df-3b545a95ac9b\2f105316-0343-494b-b221-117831308e11\skills\maestro-forensic-transcript\python\fold_laminate_v0_1.py","17.7","2026-07-21 01:04"
"content-term","INV-18","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\skills-plugin\ff0896d5-42dd-41bb-93df-3b545a95ac9b\2f105316-0343-494b-b221-117831308e11\skills\maestro-forensic-transcript\state_snapshot_2026-07-19\LEDGER.md","10.7","2026-07-21 01:04"
"content-term","INV-18","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\skills-plugin\ff0896d5-42dd-41bb-93df-3b545a95ac9b\2f105316-0343-494b-b221-117831308e11\skills\maestro-forensic-transcript\state_snapshot_2026-07-19\OPEN.md","3.6","2026-07-21 01:04"
"content-term","INV-18","C:\Users\gamer\Downloads\AUX_INPUT_3_INTEGRATION_v0_1.md","5.5","2026-07-19 01:08"
"content-term","INV-18","C:\Users\gamer\Downloads\BRIDGE_INPUT_MANIFEST.yaml","5.3","2026-07-19 03:41"
"content-term","INV-18","C:\Users\gamer\Downloads\BRIDGE_RECONCILIATION_v0_1.md","6.9","2026-07-19 00:10"
"content-term","INV-18","C:\Users\gamer\Downloads\files6\cumulative_deltas_qaf.md","15.7","2026-05-19 21:16"
"content-term","INV-18","C:\Users\gamer\Downloads\New folder\files\maestro_month_synthesis_and_rebuild_blueprint_v0.1.md","13.6","2026-06-13 20:00"
"content-term","INV-18","C:\Users\gamer\Downloads\New folder\files\maestro_v5_ust_sem_interwoven_v0.1.md","7.6","2026-06-13 20:00"
"content-term","INV-18","C:\Users\gamer\Downloads\New folder\files\song_excellence_governance_v0.1.md","8.9","2026-06-13 20:00"
"content-term","INV-18","C:\Users\gamer\Downloads\New folder\files\source_lineage_reconciliation_register_v0.1.md","8.4","2026-06-13 20:00"
"content-term","INV-18","C:\Users\gamer\Downloads\New folder\newfiles1\forensic_ingest_v0.1.py","5.3","2026-06-13 23:06"
"content-term","INV-18","C:\Users\gamer\Downloads\New folder\newfiles1\forensic_parse_v0.1.py","3.9","2026-06-13 23:06"
"content-term","INV-18","C:\Users\gamer\Downloads\New folder\newfiles1\maestro_month_synthesis_and_rebuild_blueprint_v0.1.md","13.6","2026-06-13 23:06"
"content-term","INV-18","C:\Users\gamer\Downloads\New folder\newfiles1\maestro_v5_ust_sem_interwoven_v0.1.md","7.6","2026-06-13 23:06"
"content-term","INV-18","C:\Users\gamer\Downloads\New folder\newfiles1\pass1_event_chronology_v0.1.py","6.3","2026-06-13 23:06"
"content-term","INV-18","C:\Users\gamer\Downloads\New folder\newfiles1\song_excellence_governance_v0.1.md","8.9","2026-06-13 23:06"
"content-term","INV-18","C:\Users\gamer\Downloads\New folder\newfiles1\source_lineage_reconciliation_register_v0.1.md","8.4","2026-06-13 23:06"
"content-term","INV-18","C:\Users\gamer\Downloads\R2_EVIDENCE.json","6.5","2026-07-18 23:44"
"content-term","INV-18","C:\Users\gamer\Downloads\R2_SECOND_WITNESS_REPORT.md","6.1","2026-07-18 23:44"
"content-term","INV-18","C:\Users\gamer\Downloads\SESSION13_STALENESS_MAP.yaml","1.7","2026-07-19 03:40"
"content-term","INV-18","D:\Maestro\drafts\cumulative_deltas_qaf.md","17.4","2026-06-21 00:15"
"content-term","INV-18","D:\Maestro\maestro-on-mosaic\artifacts\D-Maestro\drafts\cumulative_deltas_qaf.md","15.7","2026-05-07 03:30"
"content-term","INV-18","D:\maestro-on-mosaic\.claude\skills\maestro-forensic-transcript\06_LESSONS_LEARNED_2026-07.md","4.3","2026-07-20 19:02"
"content-term","INV-18","D:\maestro-on-mosaic\.claude\skills\maestro-forensic-transcript\python\fold_laminate_v0_1.py","17.7","2026-07-20 19:02"
"content-term","INV-18","D:\maestro-on-mosaic\.claude\skills\maestro-forensic-transcript\state_snapshot_2026-07-19\LEDGER.md","10.7","2026-07-20 19:02"
"content-term","INV-18","D:\maestro-on-mosaic\.claude\skills\maestro-forensic-transcript\state_snapshot_2026-07-19\OPEN.md","3.6","2026-07-20 19:02"
"content-term","INV-18","D:\maestro-on-mosaic\_PROVENANCE\LEDGER.md","40","2026-07-21 01:07"
"content-term","INV-18","D:\maestro-on-mosaic\_PROVENANCE\OPEN.md","11.6","2026-07-21 01:06"
"content-term","INV-18","D:\maestro-on-mosaic\_PROVENANCE\P1_narrow\session13_window1_replay.md","41.7","2026-07-17 05:25"
"content-term","INV-18","D:\maestro-on-mosaic\_PROVENANCE\P1N_VALIDATION_2026-07-19\ASSESSMENT_R1_R2_AND_PIPELINE_v0_1.md","13","2026-07-18 23:55"
"content-term","INV-18","D:\maestro-on-mosaic\_PROVENANCE\P1N_VALIDATION_2026-07-19\BRIDGE_RECONCILIATION_v0_1.md","6.9","2026-07-19 00:06"
"content-term","INV-18","D:\maestro-on-mosaic\_PROVENANCE\P1N_VALIDATION_2026-07-19\R2_SECOND_WITNESS\R2_EVIDENCE.json","6.5","2026-07-18 23:10"
"content-term","INV-18","D:\maestro-on-mosaic\_PROVENANCE\P1N_VALIDATION_2026-07-19\R2_SECOND_WITNESS\R2_SECOND_WITNESS_REPORT.md","6.1","2026-07-18 23:10"
"content-term","INV-18","D:\maestro-on-mosaic\_PROVENANCE\S13_BRIDGE\PREFLIGHT\BRIDGE_INPUT_MANIFEST.yaml","5.3","2026-07-19 02:37"
"content-term","INV-18","D:\maestro-on-mosaic\_PROVENANCE\S13_BRIDGE\SESSION13_STALENESS_MAP.yaml","1.7","2026-07-19 02:37"
"content-term","INV-18","D:\maestro-on-mosaic\_PROVENANCE\STATE.md","11","2026-07-20 19:04"
"content-term","INV-18","D:\maestro-on-mosaic\_PROVENANCE\structural_fold\AUX_INPUT_3_INTEGRATION_v0_1.md","5.5","2026-07-19 01:05"
"content-term","INV-18","D:\maestro-on-mosaic\_PROVENANCE\structural_fold\STRUCTURAL_FOLD_INTEGRATION_v0_1.md","5.2","2026-07-19 00:55"
"content-term","INV-18","D:\maestro-on-mosaic\artifacts\D-Maestro\drafts\cumulative_deltas_qaf.md","15.7","2026-06-18 20:09"
"content-term","INV-18","D:\maestro-on-mosaic\CLAUDE.md","1.7","2026-07-16 13:16"
"content-term","INV-18","D:\maestro-on-mosaic\code\forensic-pipeline\python\fold_laminate_v0_1.py","17.7","2026-06-19 09:05"
"content-term","Narrative-as-method","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\skills-plugin\ff0896d5-42dd-41bb-93df-3b545a95ac9b\2f105316-0343-494b-b221-117831308e11\skills\maestro-forensic-transcript\00_OPERATOR_ABOUT_ME.md","7","2026-07-21 01:04"
"content-term","Narrative-as-method","D:\maestro-on-mosaic\.claude\skills\maestro-forensic-transcript\00_OPERATOR_ABOUT_ME.md","7","2026-07-20 19:02"
"content-term","not-novel","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019e8032-2253-7486-9c81-1b51684270b4\docs\FOLD_who_dat.md","23.1","2026-07-08 12:23"
"content-term","Phantom commitment","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019d6f66-e24e-7222-9533-f6f4625a6bf4\docs\controller_window.md","3.3","2026-07-23 02:42"
"content-term","PHANTOM COMMITMENT","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019d6f66-e24e-7222-9533-f6f4625a6bf4\docs\executor_window.md","2.7","2026-07-23 02:42"
"content-term","Phantom commitment","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019d6f66-e24e-7222-9533-f6f4625a6bf4\docs\maestro_v0.md","15","2026-07-23 02:42"
"content-term","phantom commitment","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019d6f66-e24e-7222-9533-f6f4625a6bf4\docs\mosaic_engine_v0.1.md","18.5","2026-07-23 02:42"
"content-term","phantom commitment","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019d6f66-e24e-7222-9533-f6f4625a6bf4\docs\reasoning_trace_forensic_audit_v0.md","36.3","2026-07-23 02:42"
"content-term","phantom commitment","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019d6f66-e24e-7222-9533-f6f4625a6bf4\docs\skills.md","13.6","2026-07-23 02:42"
"content-term","Phantom commitment","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019d6f66-e24e-7222-9533-f6f4625a6bf4\memory.md","10.8","2026-07-23 02:42"
"content-term","Phantom commitment","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019e340e-b8b6-746a-873c-f7942ec57e7d\docs\claude2.txt","341.6","2026-07-09 00:29"
"content-term","phantom commitment","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019e340e-b8b6-746a-873c-f7942ec57e7d\docs\hidden costs of custom gpt use by untrained humans.txt","25.3","2026-07-09 00:29"
"content-term","Phantom Commitment","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019e340e-b8b6-746a-873c-f7942ec57e7d\docs\ws_forensic_v5c_consolidation_v0.1.yaml","27.6","2026-07-09 00:29"
"content-term","phantom commitment","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019e340e-b8b6-746a-873c-f7942ec57e7d\docs\ws_maestro_mosaic_forensic_claude_v1.0.yaml","34.9","2026-07-09 00:29"
"content-term","Phantom commitment","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019e8032-2253-7486-9c81-1b51684270b4\docs\Maestro on Mosaic Bev Branch session.md","169.3","2026-07-08 12:23"
"content-term","Phantom commitment","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019e8032-2253-7486-9c81-1b51684270b4\docs\maestro_on_mosaic_paper_v0.2.md","95.6","2026-07-08 12:23"
"content-term","phantom commitment","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019e8032-2253-7486-9c81-1b51684270b4\docs\maestro_on_mosaic_substrate_integration_review_brief_v0.3.1.md","116.3","2026-07-08 12:23"
"content-term","phantom commitment","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019e8032-2253-7486-9c81-1b51684270b4\docs\who dat.md","274.3","2026-07-08 12:23"
"content-term","phantom commitment","C:\Users\gamer\AppData\Roaming\Claude\local-agent-mode-sessions\2f105316-0343-494b-b221-117831308e11\ff0896d5-42dd-41bb-93df-3b545a95ac9b\.project-cache\019e8032-2253-7486-9c81-1b51684270b4\docs\WIRING_RECOVERY_V_AND_V_v0.md","27.7","2026-07-08 12:23"
